,Date,Season,round,period,home.name,away.name,home.score,away.score,home.goals,home.behinds,away.goals,away.behinds,Home.Odds,Away.Odds,Bookmakers.Surveyed,Home.Odds.Open,Home.Odds.Min,Home.Odds.Max,Home.Odds.Close,Away.Odds.Open,Away.Odds.Min,Away.Odds.Max,Away.Odds.Close,Home.Line.Open,Home.Line.Min,Home.Line.Max,Home.Line.Close,Away.Line.Open,Away.Line.Min,Away.Line.Max,Away.Line.Close,Home.Line.Odds.Open,Home.Line.Odds.Min,Home.Line.Odds.Max,Home.Line.Odds.Close,Away.Line.Odds.Open,Away.Line.Odds.Min,Away.Line.Odds.Max,Away.Line.Odds.Close,Total.Score.Open,Total.Score.Min,Total.Score.Max,Total.Score.Close,Total.Score.Over.Open,Total.Score.Over.Min,Total.Score.Over.Max,Total.Score.Over.Close,Total.Score.Under.Open,Total.Score.Under.Min,Total.Score.Under.Max,Total.Score.Under.Close,Notes,home.number,away.number
19,2018-08-12,2018,21,44,FR,CA,101,72,15,11,10,12,1.26,3.82,9,1.25,1.24,1.3,1.27,4,3.7,4.25,4,-26.5,-27.5,-23.5,-25.5,26.5,23.5,27.5,25.5,1.9,1.9,1.93,1.93,1.9,1.93,1.93,1.93,164.5,164.5,165.5,165.5,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,,16,4
20,2018-08-12,2018,21,44,ME,SY,78,87,10,18,13,9,1.34,3.21,9,1.56,1.33,1.56,1.33,2.45,2.45,3.5,3.5,-11.5,-23.5,-11.5,-23.5,11.5,11.5,23.5,23.5,1.9,1.93,1.9,1.93,1.9,1.9,1.93,1.93,170.5,169.5,172.5,172.5,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,,12,9
21,2018-08-12,2018,21,44,NM,WB,85,92,12,13,13,14,1.29,3.51,9,1.25,1.25,1.33,1.3,4,3.35,4,3.7,-26.5,-26.5,-22.5,-23.5,26.5,22.5,26.5,23.5,1.9,1.9,1.93,1.93,1.9,1.9,1.9,1.93,177.5,177.5,178.5,178.5,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,,14,18
22,2018-08-11,2018,21,44,CW,BL,104,73,14,20,11,7,1.25,3.93,9,1.28,1.25,1.3,1.25,3.7,3.7,4.15,4.15,-24.5,-27.5,-24.5,-27.5,24.5,24.5,27.5,27.5,1.9,1.93,1.93,1.93,1.9,1.9,1.93,1.93,185.5,185.5,186.5,186.5,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,,8,11
23,2018-08-11,2018,21,44,GW,AD,106,92,15,16,13,14,1.47,2.64,9,1.45,1.42,1.52,1.5,2.75,2.6,2.9,2.68,-15.5,-16.5,-12.5,-12.5,15.5,12.5,16.5,12.5,1.9,1.9,1.93,1.93,1.9,1.93,1.9,1.93,150.5,150.5,152.5,152.5,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,,13,1
24,2018-08-11,2018,21,44,PA,WC,58,62,9,4,9,8,1.39,2.95,9,1.58,1.38,1.58,1.38,2.4,2.4,3.2,3.2,-11.5,-18.5,-11.5,-18.5,11.5,11.5,18.5,18.5,1.9,1.93,1.9,1.93,1.9,1.9,1.93,1.93,154.5,143.5,154.5,148.5,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,,6,17
25,2018-08-11,2018,21,44,GC,RI,51,125,7,9,19,11,12.48,1.02,9,13,11,19,15,1.02,1.01,1.04,1.03,55.5,52.5,66.5,59.5,-55.5,-66.5,-52.5,-59.5,1.9,1.9,1.9,1.93,1.9,1.9,1.9,1.93,165.5,165.5,170.5,170.5,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,,15,2
26,2018-08-11,2018,21,44,HW,GE,71,60,10,11,8,12,2.51,1.51,9,2.15,2.05,2.68,2.68,1.72,1.5,1.78,1.5,4.5,3.5,13.5,13.5,-4.5,-13.5,-3.5,-13.5,1.9,1.9,1.93,1.93,1.9,1.93,1.9,1.93,161.5,147.5,161.5,159.5,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,,3,5
27,2018-08-10,2018,21,44,ES,SK,122,79,18,14,11,13,1.18,4.69,9,1.25,1.18,1.27,1.19,4,3.85,5,5,-27.5,-33.5,-26.5,-32.5,27.5,26.5,33.5,32.5,1.9,1.93,1.93,1.93,1.9,1.9,1.93,1.93,179.5,177.5,179.5,177.5,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,,7,10
28,2018-08-05,2018,20,43,WC,FR,142,84,21,16,13,6,1.16,5.12,8,1.18,1.17,1.18,1.17,5,5,5.4,5.4,-30.5,-37.5,-30.5,-33.5,30.5,30.5,37.5,33.5,1.9,1.9,1.9,1.93,1.9,1.9,1.9,1.93,164.5,163.5,164.5,164.5,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,,18,16
29,2018-08-05,2018,20,43,ME,GC,143,47,21,17,7,5,1.02,11.97,8,1.08,1.03,1.08,1.03,8,8,15,15,-45.5,-73.5,-45.5,-73.5,45.5,45.5,73.5,73.5,1.9,1.93,1.9,1.93,1.9,1.9,1.93,1.93,174.5,171.5,175.5,173.5,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,,12,17
30,2018-08-05,2018,20,43,CA,GW,46,151,7,4,23,13,7.71,1.07,8,10,8,10,8,1.05,1.05,1.1,1.1,50.5,40.5,50.5,42.5,-50.5,-50.5,-40.5,-42.5,1.9,1.93,1.9,1.93,1.9,1.9,1.93,1.93,175.5,170.5,175.5,171.5,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,,11,6
31,2018-08-04,2018,20,43,SK,WB,68,103,9,14,15,13,1.56,2.39,8,1.82,1.58,1.82,1.58,2,2,2.45,2.45,-2.5,-11.5,-2.5,-11.5,2.5,2.5,11.5,11.5,1.9,1.93,1.9,1.93,1.9,1.9,1.93,1.93,169.5,169.5,170.5,169.5,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,,9,13
32,2018-08-04,2018,20,43,SY,CW,73,71,11,7,10,11,1.64,2.22,8,1.65,1.65,1.95,1.65,2.25,1.87,2.3,2.3,-6.5,-6.5,1.5,-6.5,6.5,-1.5,6.5,6.5,1.9,1.9,1.95,1.93,1.9,1.87,1.93,1.93,162.5,160.5,163.5,161.5,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,,3,7
33,2018-08-04,2018,20,43,AD,PA,96,93,13,18,14,9,2.02,1.77,8,1.9,1.9,2.1,2,1.9,1.77,1.9,1.85,1.5,1.5,3.5,2.5,-1.5,-3.5,-1.5,-2.5,1.87,1.87,1.93,1.93,1.95,1.9,1.95,1.93,155.5,149.5,160.5,160.5,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,,1,5
34,2018-08-04,2018,20,43,BL,NM,104,107,16,8,16,11,1.71,2.1,8,2.18,1.75,2.18,1.75,1.7,1.7,2.15,2.15,5.5,-4.5,5.5,-4.5,-5.5,-5.5,4.5,4.5,1.9,1.93,1.9,1.93,1.9,1.9,1.93,1.93,185.5,185.5,188.5,187.5,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,,4,15
